customer_id,Recency,Frequency,Monetary,R_Score,F_Score,M_Score,RFM_Score,Segment
12347,2,7,"4060,4",5,4,5,545,Champions
12348,75,4,"1195,08",3,3,4,334,At Risk
12349,19,1,"1457,55",4,1,4,414,Potential Loyalists
12350,310,1,"334,4",1,1,2,112,Nearly Lost
12352,36,7,"1665,74",3,4,4,344,At Risk
12353,204,1,"89,0",1,1,1,111,Nearly Lost
12354,232,1,"1079,4",1,1,4,114,Nearly Lost
12355,214,1,"459,4",1,1,2,112,Nearly Lost
12356,23,3,"2710,63",4,3,5,435,Loyal
12357,33,1,"6207,67",4,1,5,415,Potential Loyalists
12358,2,2,"1168,06",5,2,4,524,Potential Loyalists
12359,58,4,"5230,03",3,3,5,335,At Risk
12360,52,3,"2662,06",3,3,5,335,At Risk
12361,287,1,"189,9",1,1,1,111,Nearly Lost
12362,3,10,"5226,23",5,5,5,555,Champions
12363,110,2,"552,0",2,2,3,223,At Risk
12364,8,4,"1248,3",5,3,4,534,Loyal
12365,291,1,"320,69",1,1,2,112,Nearly Lost
12367,4,1,"168,9",5,1,1,511,Mass Customers
12370,51,4,"3420,98",3,3,5,335,At Risk
12371,45,2,"1887,96",3,2,4,324,At Risk
12372,72,3,"1298,04",3,3,4,334,At Risk
12373,311,1,"364,6",1,1,2,112,Nearly Lost
12374,25,1,"742,93",4,1,3,413,Potential Loyalists
12375,11,2,"457,5",5,2,2,522,Potential Loyalists
12377,315,2,"1628,12",1,2,4,124,Sleeping
12378,130,1,"3948,14",2,1,5,215,Nearly Lost
12379,82,2,"852,24",2,2,3,223,At Risk
12380,22,4,"2724,81",4,3,5,435,Loyal
12381,5,5,"1845,31",5,4,4,544,Champions
12383,185,5,"1798,72",1,4,4,144,Sleeping
12384,29,2,"585,27",4,2,3,423,Potential Loyalists
12386,338,2,"358,7",1,2,2,122,Sleeping
12388,16,6,"2780,66",4,4,5,445,Champions
12390,80,1,"549,84",2,1,2,212,Nearly Lost
12391,22,1,"439,66",4,1,2,412,Potential Loyalists
12393,72,4,"1582,6",3,3,4,334,At Risk
12394,64,2,"821,92",3,2,3,323,At Risk
12395,19,12,"2867,43",4,5,5,455,Champions
12397,36,2,"2409,9",3,2,4,324,At Risk
12398,46,1,"1635,66",3,1,4,314,Nearly Lost
