invoice,stock_code,description,quantity,invoice_date,unit_price,customer_id,country,revenue
551539,23078,ICE CREAM PEN LIP GLOSS ,48,2011-05-03 08:40:00,1.25,12598,France,60.0
574328,22867,HAND WARMER BIRD DESIGN,96,2011-11-04 09:05:00,1.85,13081,United Kingdom,177.6
580600,23351,ROLL WRAP 50'S CHRISTMAS,1,2011-12-05 11:13:00,1.25,12841,United Kingdom,1.25
546104,21524,DOORMAT SPOTTY HOME SWEET HOME,1,2011-03-09 12:19:00,7.95,14527,United Kingdom,7.95
545013,21506,"FANCY FONT BIRTHDAY CARD, ",12,2011-02-25 13:09:00,0.42,13093,United Kingdom,5.04
550352,22730,ALARM CLOCK BAKELIKE IVORY,3,2011-04-18 10:21:00,3.75,16719,United Kingdom,11.25
538664,21619,4 VANILLA BOTANICAL CANDLES,24,2010-12-13 15:46:00,1.25,14733,United Kingdom,30.0
577396,22910,PAPER CHAIN KIT VINTAGE CHRISTMAS,40,2011-11-18 17:11:00,2.55,17621,United Kingdom,102.0
572183,22749,FELTCRAFT PRINCESS CHARLOTTE DOLL,4,2011-10-21 10:50:00,3.75,16153,United Kingdom,15.0
576771,23159,SET OF 5 PANCAKE DAY MAGNETS,12,2011-11-16 13:19:00,2.08,13285,United Kingdom,24.96
571418,22384,LUNCH BAG PINK POLKADOT,1,2011-10-17 12:35:00,1.65,16412,United Kingdom,1.65
553156,22384,LUNCH BAG PINK POLKADOT,5,2011-05-13 14:58:00,1.65,17841,United Kingdom,8.25
580482,23308,SET OF 60 VINTAGE LEAF CAKE CASES ,2,2011-12-04 12:44:00,0.55,16033,United Kingdom,1.1
556507,20726,LUNCH BAG WOODLAND,10,2011-06-13 09:55:00,1.65,12567,France,16.5
570499,22464,HANGING METAL HEART LANTERN,12,2011-10-11 09:19:00,1.65,12772,Portugal,19.8
548492,22659,LUNCH BOX I LOVE LONDON,1,2011-03-31 13:14:00,1.95,17841,United Kingdom,1.95
557295,23206,LUNCH BAG APPLE DESIGN,10,2011-06-19 13:37:00,1.65,12724,France,16.5
566583,82486,3 DRAWER ANTIQUE WHITE WOOD CABINET,2,2011-09-13 13:55:00,8.95,15343,United Kingdom,17.9
562888,22663,JUMBO BAG DOLLY GIRL DESIGN,10,2011-08-10 11:58:00,2.08,14388,United Kingdom,20.8
567189,23109,PACK OF SIX LED TEA LIGHTS,6,2011-09-19 09:10:00,2.89,17069,United Kingdom,17.34
569360,23329,DECORATIVE WICKER HEART LARGE,5,2011-10-03 14:59:00,1.65,14653,United Kingdom,8.25
573362,23265,SET OF 3 WOODEN TREE DECORATIONS,12,2011-10-30 13:06:00,1.25,12597,Spain,15.0
536874,84625A,PINK NEW BAROQUECANDLESTICK CANDLE,2,2010-12-03 11:35:00,2.95,16891,United Kingdom,5.9
564186,23212,HEART WREATH DECORATION WITH BELL,12,2011-08-23 15:20:00,1.25,15755,United Kingdom,15.0
557217,22570,FELTCRAFT CUSHION RABBIT,4,2011-06-17 12:30:00,3.75,17426,United Kingdom,15.0
559711,84997C,CHILDRENS CUTLERY POLKADOT BLUE,4,2011-07-12 10:46:00,4.15,13590,United Kingdom,16.6
546737,22174,PHOTO CUBE,12,2011-03-16 11:52:00,1.65,13358,United Kingdom,19.8
557770,23012,GLASS APOTHECARY BOTTLE PERFUME,4,2011-06-22 14:41:00,3.95,14643,United Kingdom,15.8
578515,22158,3 HEARTS HANGING DECORATION RUSTIC,1,2011-11-24 13:40:00,2.95,16885,United Kingdom,2.95
539659,85136A,YELLOW SHARK HELICOPTER,1,2010-12-21 09:47:00,7.95,15034,United Kingdom,7.95
554630,16156S,WRAP PINK FAIRY CAKES ,25,2011-05-25 11:34:00,0.42,13268,United Kingdom,10.5
560690,22629,SPACEBOY LUNCH BOX ,12,2011-07-20 12:00:00,1.95,16807,United Kingdom,23.4
546910,37479P,CUBIC MUG FLOCK PINK ON BROWN,2,2011-03-17 19:46:00,0.39,13969,United Kingdom,0.78
566075,84581,DOG TOY WITH PINK CROCHET SKIRT,4,2011-09-09 09:03:00,3.75,16173,United Kingdom,15.0
566737,84251G,"GREETING CARD, OVERCROWDED POOL.",12,2011-09-14 14:26:00,0.19,13430,United Kingdom,2.28
569790,22970,LONDON BUS COFFEE MUG,1,2011-10-06 11:42:00,2.55,15910,United Kingdom,2.55
576687,22574,HEART WOODEN CHRISTMAS DECORATION,3,2011-11-16 12:13:00,0.85,13558,United Kingdom,2.55
545152,21658,GLASS  BEURRE DISH,4,2011-02-28 12:47:00,3.95,15227,United Kingdom,15.8
578931,23581,JUMBO BAG PAISLEY PARK,4,2011-11-27 12:40:00,2.08,16942,United Kingdom,8.32
555866,21725,SWEETIES  STICKERS,12,2011-06-07 14:38:00,0.85,16841,United Kingdom,10.2
570594,22112,CHOCOLATE HOT WATER BOTTLE,3,2011-10-11 11:43:00,4.95,13517,United Kingdom,14.85
538365,22111,SCOTTIE DOG HOT WATER BOTTLE,2,2010-12-12 10:11:00,4.95,17243,United Kingdom,9.9
570269,22328,ROUND SNACK BOXES SET OF 4 FRUITS ,4,2011-10-10 10:16:00,2.95,17227,United Kingdom,11.8
541712,21754,HOME BUILDING BLOCK WORD,1,2011-01-21 11:19:00,5.95,17890,United Kingdom,5.95
572566,82484,WOOD BLACK BOARD ANT WHITE FINISH,2,2011-10-25 10:17:00,7.95,13050,United Kingdom,15.9
581114,22795,SWEETHEART RECIPE BOOK STAND,1,2011-12-07 12:19:00,6.75,14527,United Kingdom,6.75
554999,84992,72 SWEETHEART FAIRY CAKE CASES,2,2011-05-29 15:44:00,0.55,15547,United Kingdom,1.1
554996,22771,CLEAR DRAWER KNOB ACRYLIC EDWARDIAN,12,2011-05-29 14:28:00,1.25,16407,United Kingdom,15.0
575848,22535,MAGIC DRAWING SLATE BUNNIES ,3,2011-11-11 12:10:00,0.42,14178,United Kingdom,1.26
537242,21985,PACK OF 12 HEARTS DESIGN TISSUES ,24,2010-12-06 10:19:00,0.29,14748,United Kingdom,6.96
567742,23206,LUNCH BAG APPLE DESIGN,10,2011-09-22 10:47:00,1.65,14261,United Kingdom,16.5
544970,72802A,ROSE SCENT CANDLE IN JEWELLED BOX,6,2011-02-25 11:33:00,4.25,13362,United Kingdom,25.5
572219,84755,COLOUR GLASS T-LIGHT HOLDER HANGING,8,2011-10-21 13:17:00,0.65,17463,United Kingdom,5.2
559550,22865,HAND WARMER OWL DESIGN,2,2011-07-10 15:38:00,2.1,17757,United Kingdom,4.2
553194,22991,GIRAFFE WOODEN RULER,3,2011-05-15 13:37:00,1.95,16283,United Kingdom,5.85
538146,22630,DOLLY GIRL LUNCH BOX,12,2010-12-09 16:10:00,1.95,15596,United Kingdom,23.4
540372,47559B,TEA TIME OVEN GLOVE,20,2011-01-06 16:41:00,1.25,13081,United Kingdom,25.0
539496,22381,TOY TIDY PINK POLKADOT,5,2010-12-20 10:38:00,2.1,13050,United Kingdom,10.5
