invoice,stock_code,description,quantity,invoice_date,unit_price,customer_id,country
555199,85123A,WHITE HANGING HEART T-LIGHT HOLDER,1,01.06.2011 12:05,"2,95",14606.0,United Kingdom
554974,21794,CLASSIC FRENCH STYLE BASKET NATURAL,30,27.05.2011 17:14,"3,95",14031.0,United Kingdom
579187,22356,CHARLOTTE BAG PINK POLKADOT,13,28.11.2011 15:31,"1,63",,United Kingdom
573546,21770,OPEN CLOSED METAL SIGN,2,31.10.2011 13:13,"4,95",15974.0,United Kingdom
546157,22180,RETROSPOT LAMP,2,10.03.2011 08:40,"9,95",13502.0,United Kingdom
575618,23012,GLASS APOTHECARY BOTTLE PERFUME,4,10.11.2011 12:57,"3,95",15463.0,United Kingdom
580635,21519,GIN & TONIC DIET GREETING CARD ,12,05.12.2011 12:30,"0,42",14649.0,United Kingdom
568908,23545,WRAP RED VINTAGE DOILY,25,29.09.2011 13:38,"0,42",16653.0,United Kingdom
550128,22933,BAKING MOULD EASTER EGG MILK CHOC,1,14.04.2011 13:13,"2,95",,United Kingdom
C559742,22960,JAM MAKING SET WITH JARS,-12,12.07.2011 11:11,"3,75",14267.0,United Kingdom
545721,82484,WOOD BLACK BOARD ANT WHITE FINISH,1,07.03.2011 10:52,"7,9",15039.0,United Kingdom
578664,22065,CHRISTMAS PUDDING TRINKET POT ,2,24.11.2011 16:59,"0,39",15910.0,United Kingdom
560090,40016,CHINESE DRAGON PAPER LANTERNS,5,14.07.2011 16:46,"8,29",,United Kingdom
560120,22457,NATURAL SLATE HEART CHALKBOARD ,6,15.07.2011 10:27,"2,95",14907.0,United Kingdom
540418,22161,HEART DECORATION RUSTIC HANGING ,5,07.01.2011 11:04,"0,81",,United Kingdom
546237,84508A,CAMOUFLAGE DESIGN TEDDY,6,10.03.2011 12:50,"2,55",16625.0,United Kingdom
565118,22662,LUNCH BAG DOLLY GIRL DESIGN,2,01.09.2011 11:33,"1,65",15039.0,United Kingdom
539000,22622,BOX OF VINTAGE ALPHABET BLOCKS,4,15.12.2010 12:27,"9,95",13092.0,United Kingdom
545715,82600,NO SINGING METAL SIGN,1,07.03.2011 10:13,"4,13",,United Kingdom
C572491,23245,SET OF 3 REGENCY CAKE TINS,-1,24.10.2011 14:02,"4,95",13047.0,United Kingdom
571931,22086,PAPER CHAIN KIT 50'S CHRISTMAS ,2,19.10.2011 16:59,"5,79",,United Kingdom
568721,23507,MINI PLAYING CARDS BUFFALO BILL ,1,28.09.2011 16:24,"0,83",,United Kingdom
560876,22619,SET OF 6 SOLDIER SKITTLES,12,21.07.2011 15:14,"3,75",12626.0,Germany
537159,22667,RECIPE BOX RETROSPOT ,1,05.12.2010 13:17,"2,95",14527.0,United Kingdom
565841,22560,TRADITIONAL MODELLING CLAY,2,07.09.2011 12:04,"2,46",,United Kingdom
536532,20685,DOORMAT RED RETROSPOT,2,01.12.2010 13:24,"7,95",12433.0,Norway
C556896,21899,"KEY FOB , GARAGE DESIGN",-6,15.06.2011 12:51,"0,65",12843.0,United Kingdom
578265,21822,GLITTER CHRISTMAS TREE WITH BELLS,12,23.11.2011 13:28,"0,79",13018.0,United Kingdom
